Current SNR,Current N,Accuracy
-10,160,45
-10,176,35
-10,192,60
-10,208,55
-10,224,40
-10,240,45
-8,160,55
-8,176,65
-8,192,65
-8,208,70
-8,224,55
-8,240,65
-6,160,70
-6,176,85
-6,192,95
-6,208,70
-6,224,80
-6,240,80
-4,160,95
-4,176,95
-4,192,100
-4,208,100
-4,224,90
-4,240,95
-2,160,100
-2,176,100
-2,192,90
-2,208,100
-2,224,95
-2,240,100
0,160,100
0,176,100
0,192,100
0,208,100
0,224,100
0,240,100
2,160,100
2,176,100
2,192,100
2,208,100
2,224,100
2,240,100
4,160,100
4,176,100
4,192,100
4,208,100
4,224,100
4,240,100
6,160,100
6,176,100
6,192,100
6,208,100
6,224,100
6,240,100
8,160,100
8,176,100
8,192,100
8,208,100
8,224,100
8,240,100
10,160,100
10,176,100
10,192,100
10,208,100
10,224,100
10,240,100
